,County,Year,County_Population,Date,Metro,State,Month,Rent,Med_Monthly_Income
189,"Adams County, Pennsylvania",2016,102180,2016/6/1,"Gettysburg, Pennsylvania",Pennsylvania,6,1271.896552,4941.666667
190,"Adams County, Pennsylvania",2016,102180,2016/9/1,"Gettysburg, Pennsylvania",Pennsylvania,9,1258.068966,4941.666667
191,"Adams County, Pennsylvania",2016,102180,2016/1/1,"Gettysburg, Pennsylvania",Pennsylvania,1,1274.586207,4941.666667
192,"Adams County, Pennsylvania",2016,102180,2016/10/1,"Gettysburg, Pennsylvania",Pennsylvania,10,1257.586207,4941.666667
193,"Aiken County, South Carolina",2013,164176,2013/1/1,"Augusta, South Carolina",South Carolina,1,804.1111111,3521.583333
194,"Aiken County, South Carolina",2013,164176,2013/3/1,"Augusta, South Carolina",South Carolina,3,811.2222222,3521.583333
195,"Aiken County, South Carolina",2013,164176,2013/6/1,"Augusta, South Carolina",South Carolina,6,804.5555556,3521.583333
196,"Aiken County, South Carolina",2013,164176,2013/12/1,"Augusta, South Carolina",South Carolina,12,826.1111111,3521.583333
197,"Aiken County, South Carolina",2013,164176,2013/5/1,"Augusta, South Carolina",South Carolina,5,802.1111111,3521.583333
198,"Aiken County, South Carolina",2013,164176,2013/11/1,"Augusta, South Carolina",South Carolina,11,815.8888889,3521.583333
199,"Aiken County, South Carolina",2013,164176,2013/4/1,"Augusta, South Carolina",South Carolina,4,805,3521.583333
200,"Aiken County, South Carolina",2013,164176,2013/7/1,"Augusta, South Carolina",South Carolina,7,811,3521.583333
201,"Aiken County, South Carolina",2013,164176,2013/9/1,"Augusta, South Carolina",South Carolina,9,800.2222222,3521.583333
202,"Aiken County, South Carolina",2013,164176,2013/10/1,"Augusta, South Carolina",South Carolina,10,804.3333333,3521.583333
203,"Aiken County, South Carolina",2013,164176,2013/2/1,"Augusta, South Carolina",South Carolina,2,811.6666667,3521.583333
204,"Aiken County, South Carolina",2013,164176,2013/8/1,"Augusta, South Carolina",South Carolina,8,807.7777778,3521.583333
205,"Aiken County, South Carolina",2014,164753,2014/5/1,"Augusta, South Carolina",South Carolina,5,790.4444444,4073.5
206,"Aiken County, South Carolina",2014,164753,2014/4/1,"Augusta, South Carolina",South Carolina,4,795,4073.5
207,"Aiken County, South Carolina",2014,164753,2014/9/1,"Augusta, South Carolina",South Carolina,9,770.1111111,4073.5
208,"Aiken County, South Carolina",2014,164753,2014/7/1,"Augusta, South Carolina",South Carolina,7,786.3333333,4073.5
209,"Aiken County, South Carolina",2014,164753,2014/1/1,"Augusta, South Carolina",South Carolina,1,818,4073.5
210,"Aiken County, South Carolina",2014,164753,2014/6/1,"Augusta, South Carolina",South Carolina,6,787.6666667,4073.5
211,"Aiken County, South Carolina",2014,164753,2014/12/1,"Augusta, South Carolina",South Carolina,12,772.4444444,4073.5
212,"Aiken County, South Carolina",2014,164753,2014/2/1,"Augusta, South Carolina",South Carolina,2,811.7777778,4073.5
213,"Aiken County, South Carolina",2014,164753,2014/3/1,"Augusta, South Carolina",South Carolina,3,799.7777778,4073.5
214,"Aiken County, South Carolina",2014,164753,2014/8/1,"Augusta, South Carolina",South Carolina,8,779.7777778,4073.5
215,"Aiken County, South Carolina",2014,164753,2014/11/1,"Augusta, South Carolina",South Carolina,11,763.2222222,4073.5
216,"Aiken County, South Carolina",2014,164753,2014/10/1,"Augusta, South Carolina",South Carolina,10,762.1111111,4073.5
217,"Aiken County, South Carolina",2015,165829,2015/8/1,"Augusta, South Carolina",South Carolina,8,867,3934.916667
218,"Aiken County, South Carolina",2015,165829,2015/1/1,"Augusta, South Carolina",South Carolina,1,780,3934.916667
219,"Aiken County, South Carolina",2015,165829,2015/4/1,"Augusta, South Carolina",South Carolina,4,815.2222222,3934.916667
220,"Aiken County, South Carolina",2015,165829,2015/5/1,"Augusta, South Carolina",South Carolina,5,833.1111111,3934.916667
221,"Aiken County, South Carolina",2015,165829,2015/12/1,"Augusta, South Carolina",South Carolina,12,826,3934.916667
222,"Aiken County, South Carolina",2015,165829,2015/3/1,"Augusta, South Carolina",South Carolina,3,802.3333333,3934.916667
223,"Aiken County, South Carolina",2015,165829,2015/10/1,"Augusta, South Carolina",South Carolina,10,843.2222222,3934.916667
224,"Aiken County, South Carolina",2015,165829,2015/2/1,"Augusta, South Carolina",South Carolina,2,793.4444444,3934.916667
225,"Aiken County, South Carolina",2015,165829,2015/7/1,"Augusta, South Carolina",South Carolina,7,866.6666667,3934.916667
226,"Aiken County, South Carolina",2015,165829,2015/6/1,"Augusta, South Carolina",South Carolina,6,853.3333333,3934.916667
227,"Aiken County, South Carolina",2015,165829,2015/11/1,"Augusta, South Carolina",South Carolina,11,831.3333333,3934.916667
228,"Aiken County, South Carolina",2015,165829,2015/9/1,"Augusta, South Carolina",South Carolina,9,855.6666667,3934.916667
229,"Aiken County, South Carolina",2016,167458,2016/11/1,"Augusta, South Carolina",South Carolina,11,797.8888889,3828.75
230,"Aiken County, South Carolina",2016,167458,2016/5/1,"Augusta, South Carolina",South Carolina,5,838.3333333,3828.75
231,"Aiken County, South Carolina",2016,167458,2016/3/1,"Augusta, South Carolina",South Carolina,3,839.6666667,3828.75
232,"Aiken County, South Carolina",2016,167458,2016/9/1,"Augusta, South Carolina",South Carolina,9,791.5555556,3828.75
233,"Aiken County, South Carolina",2016,167458,2016/12/1,"Augusta, South Carolina",South Carolina,12,813.1111111,3828.75
234,"Aiken County, South Carolina",2016,167458,2016/1/1,"Augusta, South Carolina",South Carolina,1,823,3828.75
235,"Aiken County, South Carolina",2016,167458,2016/8/1,"Augusta, South Carolina",South Carolina,8,800.2222222,3828.75
236,"Aiken County, South Carolina",2016,167458,2016/6/1,"Augusta, South Carolina",South Carolina,6,827.1111111,3828.75
